n,m,p,mode,rep,seed,T_stop,converged,cycle_len,phi_0,phi_f,k_components,winner_flip,winner_item,consensus_frac,delta_FR
150,15,0.2,async,116,1816000417,1176,1,0,168096,0,150,0,6,1.0,70.8
100,12,0.3,async,33,809290724,578,1,0,69674,0,100,0,6,1.0,44.4
100,10,0.1,sync,114,677296038,7,1,0,16420,0,100,0,7,1.0,31.0
150,5,0.2,sync,23,2080004567,5,1,0,18168,0,150,0,0,1.0,7.333333333333333
50,5,0.5,async,53,1541894810,300,1,0,5112,0,50,0,2,1.0,7.2
200,10,0.5,sync,62,628560207,4,1,0,329662,0,200,1,9,1.0,31.91
50,8,0.5,async,21,55630300,209,1,0,13062,0,50,1,4,1.0,19.96
50,8,0.2,sync,35,1060832955,7,1,0,5176,0,50,0,6,1.0,19.08
150,8,0.05,sync,111,1023729243,10,1,0,12364,0,150,1,0,1.0,19.826666666666668
100,5,0.05,async,58,559879533,785,1,0,2004,0,100,1,1,1.0,8.12
20,12,0.2,sync,93,708395143,13,0,2,1710,554,1,1,8,0.6,41.5
20,5,0.7,async,69,1727229675,64,1,0,952,0,20,0,0,1.0,5.8
200,5,0.2,async,109,1770025740,1521,1,0,32618,0,200,0,0,1.0,7.59
200,8,0.2,async,22,601893371,1027,1,0,82864,0,200,1,7,1.0,20.26
20,15,0.1,async,91,235608549,158,1,0,1348,136,12,1,1,0.75,64.1
50,5,0.05,async,52,837824788,984,1,0,492,32,40,0,0,1.0,7.0
100,12,0.2,async,3,1824302542,518,1,0,47882,0,100,1,0,1.0,44.5
200,5,0.3,sync,52,230129362,4,1,0,47452,0,200,1,0,1.0,7.73
200,12,0.05,sync,59,313629545,11,1,0,46960,0,200,1,0,1.0,45.51
200,10,0.5,async,97,313445815,1191,1,0,324236,0,200,0,6,1.0,31.16
20,5,0.1,async,2,1391885159,135,1,0,160,18,16,1,0,1.0,6.0
20,8,0.1,sync,103,1378296925,11,0,2,532,472,1,0,0,0.55,21.6
150,5,0.5,sync,5,2037545963,3,1,0,44640,0,150,0,2,1.0,7.653333333333333
50,15,0.3,sync,81,1472379084,7,1,0,26746,0,50,1,3,1.0,67.84
100,10,0.05,async,76,424896262,1972,1,0,8352,652,15,1,0,0.45,32.52
50,12,0.5,async,61,1832261661,215,1,0,28738,0,50,1,4,1.0,42.56
20,5,0.1,async,78,1443860109,128,1,0,208,16,17,1,0,1.0,7.3
20,8,0.1,sync,51,1880460771,8,0,2,530,474,1,1,2,0.4,12.3
150,15,0.2,async,69,117114447,999,1,0,163814,0,150,0,0,1.0,70.48
20,10,0.7,sync,40,1917409787,7,1,0,4458,0,20,1,2,1.0,28.5
100,5,0.05,async,34,2097892955,1240,1,0,1912,100,50,1,2,1.0,7.58
100,12,0.3,sync,2,307960555,5,1,0,73194,0,100,1,5,1.0,44.7
20,15,0.5,async,97,1963851791,124,1,0,6446,0,20,0,5,1.0,63.9
20,12,0.7,async,67,1481888268,94,1,0,6272,0,20,1,11,1.0,42.4
200,5,0.3,async,45,1751548165,1029,1,0,47118,0,200,0,0,1.0,7.66
200,12,0.7,async,53,1453044665,1422,1,0,663070,0,200,0,6,1.0,45.24
100,12,0.7,sync,72,1002581945,5,1,0,165552,0,100,1,7,1.0,44.78
50,5,0.1,sync,58,333977601,14,0,2,860,8,46,0,0,1.0,7.56
200,15,0.7,sync,96,1543409927,3,1,0,1041536,0,200,1,2,1.0,71.5
50,10,0.7,async,1,1804699376,226,1,0,28134,0,50,1,4,1.0,30.0
150,5,0.1,sync,44,673639179,7,1,0,8792,0,150,0,3,1.0,7.32
200,12,0.3,async,19,1893431575,1164,1,0,285114,0,200,0,8,1.0,46.15
150,10,0.1,sync,18,1187596491,8,1,0,36340,0,150,1,3,1.0,30.786666666666665
150,15,0.05,sync,80,467968824,16,1,0,39732,0,150,1,2,1.0,71.0
100,5,0.1,async,35,107428774,743,1,0,3932,0,100,0,0,1.0,7.28
20,12,0.7,async,114,933951703,124,1,0,6014,0,20,1,1,1.0,40.2
50,12,0.05,sync,16,1455654111,22,0,2,3258,2392,1,1,0,0.4,36.88
150,15,0.7,sync,107,1982366866,3,1,0,591082,0,150,1,5,1.0,70.6
150,8,0.7,async,32,1455580829,722,1,0,164514,0,150,0,0,1.0,20.08
